0,1,2,1002,1005,1007,
1001,1,2,0,1,0,
1002,1,2,1,0,0,
1003,5,5,0,0,0,
1004,3,4,1,2,0,
1005,2,2,5,2,0,
1006,2,1,1,0,0,
1007,5,2,0,0,0,
1008,2,1,0,0,0,
1009,1,2,0,0,0,
1010,3,1,0,0,0,
1011,1,2,0,0,0,
1012,4,5,0,0,0,
1013,2,4,0,0,0,
1014,5,2,0,0,0,
1015,4,2,0,0,0,
1016,2,5,0,0,0,
1017,2,4,0,0,0,
1018,1,2,0,0,0,
1019,4,2,0,0,0,
1020,2,5,0,0,0,
1021,1,4,0,0,0,
1022,1,2,0,0,0,
1023,1,2,0,0,0,
1024,2,5,0,0,0,
1025,5,4,0,0,0,
1026,4,2,0,0,0,
1027,2,5,0,0,0,
1028,5,4,0,0,0,
1029,4,2,0,0,0,
1030,5,2,0,0,0,
2001,5,4,0,0,4,
2002,4,3,0,0,0,
2003,2,2,0,0,0,
2004,2,1,0,0,0,
2005,5,4,0,0,0,
2006,4,2,0,0,0,
2007,2,1,0,0,0,
2008,5,1,0,0,0,
2009,4,2,0,0,0,
2010,3,5,0,0,0,
2011,2,4,0,0,0,
2012,1,2,0,0,0,
2013,2,2,0,0,0,
2014,1,5,0,0,0,
2015,2,4,0,0,0,
2016,5,2,0,0,0,
2017,4,2,0,0,0,
2018,2,5,0,0,0,
2019,5,4,0,0,0,
2020,4,2,0,0,0,
2021,3,2,0,0,0,
2022,2,5,0,0,0,
2023,1,4,0,0,0,
2024,4,2,0,0,0,
2025,2,5,0,0,0,
2026,1,4,0,0,0,
2027,1,2,0,0,0,
2028,2,2,0,0,0,
2029,5,5,0,0,0,
2030,4,4,0,0,0,
2031,2,2,0,0,0,
2032,2,1,0,0,0,
2033,5,2,0,0,0,
2034,4,1,0,0,0,
2035,2,2,0,0,0,
3001,2,1,0,0,0,
3002,1,2,0,0,0,
3003,1,1,0,0,0,
3004,2,2,0,0,0,
3005,5,5,0,0,0,
3006,4,4,0,0,0,
3007,2,2,0,0,0,
3008,2,5,0,0,0,
3009,5,4,0,0,0,
3010,4,3,0,0,0,
3011,2,2,0,0,0,
3012,5,1,0,0,0,
3013,4,4,0,0,0,
3014,2,1,0,0,0,
3015,5,2,0,0,0,
3016,4,1,0,0,0,
3017,3,2,0,0,0,
3018,2,1,0,0,0,
3019,1,2,0,0,0,
3020,4,5,0,0,0,
3021,2,4,0,0,0,
3022,1,2,0,0,0,
3023,1,2,0,0,0,
3024,2,5,0,0,0,
3025,5,4,0,0,0,
3026,4,2,0,0,0,
3027,2,2,0,0,0,
3028,2,5,0,0,0,
3029,5,4,0,0,0,
3030,4,2,0,0,0,
